frame,frame_ms
0,133.333
1,1.384
2,6.084
3,9.199
4,8.333
5,6.667
6,7.030
7,6.566
8,6.606
9,6.310
10,6.667
11,6.667
12,6.944
13,6.944
14,6.944
15,7.654
16,6.944
17,6.944
18,6.944
19,6.944
20,6.944
21,6.944
22,6.944
23,6.652
24,6.944
25,6.944
26,6.944
27,6.667
28,6.667
29,6.667
30,6.667
31,6.667
32,6.667
33,6.667
34,6.667
35,6.667
36,6.667
37,6.667
38,6.667
39,6.667
40,6.667
41,6.667
42,6.667
43,6.667
44,6.667
45,6.667
46,6.667
47,6.667
48,6.667
49,6.667
50,6.667
51,6.667
52,6.667
53,6.667
54,6.667
55,6.667
56,6.667
57,6.667
58,6.667
59,6.865
60,6.667
61,6.911
62,6.667
63,6.944
64,6.944
65,6.944
66,6.944
67,6.676
68,6.944
69,6.944
70,6.944
71,6.944
72,6.944
73,6.944
74,6.874
75,6.913
76,6.667
77,6.944
78,6.764
79,6.513
80,6.944
81,6.724
82,6.944
83,6.944
84,6.944
85,6.852
86,6.944
87,6.944
88,6.944
89,6.667
90,6.944
91,6.667
92,6.944
93,6.944
94,6.944
95,6.944
96,6.944
97,6.944
98,6.944
99,6.667
100,6.944
101,6.944
102,6.944
103,6.944
104,6.944
105,6.944
106,6.944
107,6.944
108,6.944
109,6.667
110,6.667
111,6.944
112,6.944
113,6.667
114,6.944
115,6.944
116,6.944
117,6.944
118,6.944
119,6.944
