frame,frame_ms
0,150.000
1,16.667
2,16.667
3,0.042
4,0.514
5,4.192
6,11.919
7,5.556
8,4.762
9,6.349
10,5.556
11,5.556
12,5.556
13,5.556
14,5.556
15,5.556
16,5.556
17,6.801
18,6.874
19,6.873
20,6.936
21,6.881
22,6.885
23,6.936
24,6.850
25,6.945
26,6.854
27,6.925
28,6.916
29,6.861
30,6.944
31,6.944
32,6.944
33,6.977
34,6.944
35,6.944
36,6.944
37,6.944
38,6.944
39,6.944
40,6.944
41,6.944
42,6.944
43,6.944
44,6.944
45,6.944
46,6.944
47,6.944
48,6.944
49,6.944
50,6.944
51,6.944
52,6.944
53,6.944
54,6.944
55,6.944
56,6.944
57,6.944
58,6.944
59,6.944
60,6.944
61,6.944
62,6.944
63,6.944
64,6.944
65,6.944
66,6.944
67,6.944
68,6.944
69,6.944
70,6.944
71,6.944
72,6.944
73,6.944
74,6.944
75,9.633
76,7.407
77,7.407
78,7.407
79,7.407
80,7.143
81,7.407
82,7.407
83,7.146
84,7.143
85,7.143
86,7.143
87,7.143
88,7.143
89,7.143
90,7.143
91,7.143
92,7.143
93,7.143
94,7.143
95,7.143
96,7.143
97,7.143
98,7.143
99,7.143
100,7.143
101,7.143
102,7.143
103,7.143
104,7.143
105,7.143
106,7.143
107,7.143
108,7.143
109,7.143
110,7.143
111,7.143
112,7.143
113,7.143
114,7.143
115,7.143
116,7.143
117,7.143
118,7.000
119,6.960
120,6.248
121,7.143
122,7.143
123,6.928
124,7.059
125,6.804
126,6.983
127,6.862
128,6.870
129,6.962
130,6.818
131,6.944
132,6.924
133,6.867
134,6.943
135,6.855
136,6.927
137,6.855
138,6.944
139,6.736
140,6.944
141,6.944
142,6.933
143,6.622
144,6.944
145,6.444
146,6.944
147,6.944
148,6.667
149,6.667
150,6.667
151,6.667
152,6.667
153,6.667
154,6.667
155,6.667
156,6.667
157,6.667
158,6.667
159,6.667
160,6.667
161,6.667
162,6.667
163,6.667
164,6.667
165,6.667
166,6.667
167,6.667
168,6.667
169,6.667
170,6.667
171,6.667
172,6.667
173,6.667
174,6.667
175,6.667
176,6.667
177,6.667
178,6.667
179,6.667
180,6.667
181,6.667
182,6.944
183,7.711
184,6.667
185,6.721
186,6.667
187,6.944
188,6.871
189,6.856
190,6.944
