frame,frame_ms
0,144.190
1,7.603
2,6.373
3,8.500
4,8.333
5,6.667
6,8.306
7,6.807
8,7.070
9,6.745
10,7.046
11,6.738
12,7.072
13,6.479
14,7.143
15,6.963
16,6.627
17,6.944
18,6.944
19,6.488
20,6.944
21,6.944
22,7.071
23,6.944
24,6.944
25,6.833
26,6.944
27,6.944
28,6.944
29,6.944
30,5.882
31,6.944
32,6.944
33,6.944
34,6.667
35,6.667
36,6.667
37,6.667
38,6.667
39,6.667
40,6.667
41,6.667
42,6.667
43,6.667
44,6.667
45,6.667
46,6.667
47,6.667
48,6.667
49,6.667
50,6.667
51,6.667
52,6.667
53,6.667
54,6.667
55,6.667
56,6.667
57,6.667
58,6.667
59,6.667
60,6.667
61,6.667
62,6.667
63,6.667
64,6.944
65,6.667
66,6.794
67,6.936
68,6.667
69,7.444
70,6.667
71,6.667
72,6.944
73,6.667
74,6.944
75,6.743
76,6.667
77,6.944
78,6.944
79,6.944
80,6.944
81,6.944
82,6.944
83,6.944
84,6.944
85,6.944
86,6.944
87,6.944
88,6.944
89,6.944
90,6.667
91,6.667
92,6.944
93,6.944
94,6.944
95,6.667
96,6.944
97,6.667
98,7.979
99,6.667
100,6.667
101,6.944
102,6.667
103,6.944
104,6.667
105,6.944
106,6.944
107,6.944
108,6.944
109,6.667
110,6.667
111,6.944
112,6.944
113,6.944
114,6.944
115,7.222
116,6.944
117,6.944
118,6.944
119,6.944
120,6.667
121,6.935
122,6.944
123,6.944
124,6.667
125,6.944
126,6.667
127,6.677
128,6.944
129,6.944
130,6.944
131,6.944
132,6.666
133,6.862
134,6.944
135,6.944
136,6.944
137,6.944
138,6.827
139,6.944
140,6.944
141,6.944
142,6.944
143,6.667
144,6.667
145,6.944
146,6.944
147,6.944
148,6.944
149,6.944
150,6.667
151,6.944
152,6.944
153,6.944
154,6.944
155,6.944
156,6.667
157,6.944
158,6.819
159,6.944
160,6.944
161,6.992
162,6.944
163,6.944
164,6.944
165,6.926
166,6.944
167,6.944
168,6.944
